PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV
CUBI PRF,CUBI-F,CUBI,FF,,8.0,05/30/2025,12/14/2021,NONE,0.59,6.00%,,,31.54,Regionalbank,,61.0,,,,,,25.62,,,25.44,25.4,0.73,0.88,23.9,25.99,22.2,25.99,25.43,1.53,-0.56,47.861525,42.66881,69.162791,15.430809,-0.56,3.23,15.245902,68.854337,4470,5061,5840,5124
DBRG PRH,DBRG-H,DBRG,,,8.0,07/10/2025,4/15/2020,NONE,0.45,7.13%,24.5,21.28,176.33,Assetmanagement,,12.0,,,,,,20.86,-0.42,-3.64,22.55,23.7,-7.5,-11.98,20.2,25.45,18.88,25.8,20.47,0.27,-4.98,76.713409,89.926504,84.790698,61.592689,-5.33,1.59,63.366961,79.590835,11153,13945,11017,12038
DBRG PRI,DBRG-I,DBRG,,,8.0,07/10/2025,6/5/2022,NONE,0.45,7.15%,24.3,20.8,176.33,Assetmanagement,,12.0,,,,,,21.03,0.24,-3.26,22.58,23.72,-6.84,-11.31,20.3,25.63,18.59,25.86,20.65,0.35,-4.98,74.399649,87.464401,83.79845,61.592689,-5.21,2.06,62.156368,76.513912,23795,33792,32845,30144
DBRG PRJ,DBRG-J,DBRG,,,8.0,07/10/2025,9/22/2022,NONE,0.45,7.13%,24.72,21.0,176.33,Assetmanagement,,12.0,,,,,,20.79,-0.21,-3.93,22.42,23.57,-7.26,-11.78,20.3,25.34,18.72,25.66,20.4,0.1,-4.94,75.872042,89.191548,86.899225,61.174935,-5.26,1.68,62.660782,79.001637,23326,30651,23551,25843
DCOMG,DCOMG,DCOM,NFF,,10.0,06/30/2025,7/15/2029,7/15/2034,0.56,9.00%,,,43.64,Regionalbank,,2.0,,,,,,26.94,,,,,,,24.25,27.64,24.25,27.64,26.39,2.14,-1.25,,,61.596899,22.637076,-1.25,2.14,22.20681,75.99018,5622,7369,769,4586
DDT,DDT,DDS,,TP,10.5,07/11/2025,8/12/2003,8/1/2038,0.47,7.50%,27.0,25.4,15.68,Departmentstores,,13.0,,,,,,25.91,0.51,-1.09,25.95,25.89,-0.14,0.08,24.39,26.55,24.39,26.59,25.51,1.12,-1.04,50.911481,45.608636,74.248062,20.443864,-1.08,1.12,20.491803,82.667758,7300,8402,5547,7083
DRH PRA,DRH-A,DRH,,,8.0,06/20/2025,8/31/2025,NONE,0.52,8.25%,27.0,24.87,205.53,Reit,,82.0,,,,,,24.98,0.11,-2.02,25.05,25.35,-0.26,-1.48,23.51,26.26,23.51,27.54,24.93,1.42,-1.33,51.332165,51.341295,70.527132,23.472585,-2.61,1.42,35.92686,80.703764,8284,8300,3248,6611
DSX PRB,DSX-B,DSX,,,8.0,07/10/2025,3/14/2019,NONE,0.56,8.88%,25.8,25.16,115.77,Marineshipping,,12.0,,,,,,26.53,1.37,0.73,26.19,26.26,1.31,1.03,23.88,27.75,23.88,27.75,26.04,2.16,-1.71,45.828221,42.117593,61.348837,27.441253,-1.71,2.16,26.847415,75.859247,1830,1801,1897,1843
DX PRC,DX-C,DX,NFF,,8.0,06/27/2025,4/25/2025,NONE,0.43,6.90%,,,107.00,Reit,,89.0,,,,,,25.72,,,25.46,25.24,1.01,1.9,24.56,25.76,21.48,25.76,25.72,1.16,-0.04,46.87993,38.920533,73.751938,10.0,-0.04,4.24,10.0,62.242226,10405,13588,6175,10056
ECC PRD,ECC-D,ECC,,,8.0,05/12/2025,11/29/2026,NONE,0.14,6.75%,23.19,19.6,120.18,Cef,,43.0,,,,,,19.47,-0.13,-3.72,19.28,19.55,1.01,-0.42,18.08,20.42,18.08,21.45,19.4,1.32,-1.02,46.87993,47.446027,71.767442,20.234987,-2.05,1.32,30.277427,81.358429,26289,16439,11878,18202
ECCC,ECCC,ECC,,,8.0,05/12/2025,6/16/2024,6/30/2031,0.14,6.50%,24.15,20.52,120.18,Cef,,43.0,,,,,,23.28,2.76,-0.87,22.78,22.91,2.21,1.63,21.87,24.89,20.24,24.89,23.21,1.34,-1.68,42.673094,39.912724,71.51938,27.127937,-1.68,2.97,26.544767,70.556465,3495,3771,3353,3539
ECCF,ECCF,ECC,,Term,8.0,05/12/2025,1/18/2026,1/31/2029,0.17,8.00%,,,120.18,Cef,,43.0,,,,,,25.0,,,24.87,24.93,0.52,0.3,24.03,25.5,24.03,25.55,24.91,0.88,-0.59,48.597721,44.800184,77.224806,15.744125,-0.64,0.88,16.052963,84.238953,5477,4623,4361,4821
ECCU,ECCU,ECC,,,8.0,05/12/2025,6/30/2027,4/30/2030,0.15,7.75%,,,120.18,Cef,,43.0,,,,,,24.68,,,,,,,23.89,25.45,23.89,25.45,24.6,0.71,-0.85,,,79.333333,18.45953,-0.85,0.71,18.171501,85.351882,17000,15909,7070,13326
ECCV,ECCV,ECC,,BB,8.0,06/13/2025,1/31/2025,1/31/2029,0.34,5.38%,22.84,21.11,120.18,Cef,,75.0,,,,,,23.07,1.96,0.23,22.96,22.9,0.48,0.76,21.94,23.53,21.03,23.53,23.01,1.07,-0.52,48.737949,43.109784,74.868217,15.013055,-0.52,1.98,14.842371,77.037643,3081,3679,2004,2921
ECCW,ECCW,ECC,,BB,8.0,06/13/2025,3/29/2024,3/31/2031,0.42,6.75%,24.5,21.9,120.18,Cef,,75.0,,,,,,23.49,1.59,-1.01,23.5,24.11,-0.06,-2.59,22.28,24.9,21.44,25.21,23.42,1.14,-1.48,50.631025,55.420303,74.0,25.039164,-1.79,1.98,27.654477,77.037643,2730,3876,4360,3655
ECCX,ECCX,ECC,,BB,8.0,06/12/2025,4/30/2021,4/30/2028,0.42,6.69%,24.91,23.24,120.18,Cef,,74.0,,,,,,24.56,1.32,-0.35,24.76,24.74,-0.8,-0.71,23.85,26.95,22.7,26.95,24.49,0.64,-2.46,53.225241,48.511713,80.20155,35.274151,-2.46,1.79,34.413619,78.281506,2542,3157,1364,2354
EFC PRA,EFC-A,EFC,FF,,8.0,06/27/2025,10/30/2024,NONE,0.61,6.75%,,,94.36,Reit,,89.0,,,,,,25.24,,,24.95,24.98,1.15,1.02,21.5,25.54,20.77,25.54,25.23,3.73,-0.31,46.389132,42.154341,41.875969,12.819843,-0.31,4.46,12.723834,60.801964,12443,10586,6886,9972
EFC PRB,EFC-B,EFC,NFF,,8.0,06/27/2025,1/30/2027,NONE,0.39,6.25%,,,94.36,Reit,,89.0,,,,,,22.91,,,22.78,22.44,0.58,2.11,20.29,23.75,18.35,23.75,22.91,2.62,-0.84,48.387379,38.148829,55.643411,18.355091,-0.84,4.56,18.070618,60.1473,5567,6647,7727,6647
EFC PRC,EFC-C,EFC,NFF,,8.0,06/27/2025,4/30/2028,,0.54,8.63%,,,94.36,Reit,,89.0,,,,,,25.2,,,24.84,25.02,1.45,0.7,22.68,26.25,21.31,26.25,25.19,2.51,-1.06,45.337423,43.330271,57.007752,20.652742,-1.06,3.88,20.290038,64.599018,1997,2135,2605,2246
EFC PRD,EFC-D,EFC,,,8.0,06/18/2025,5/12/2022,NONE,0.44,7.00%,,,94.36,Reit,,80.0,,,,,,22.99,,,23.21,23.03,-0.95,-0.19,21.41,27.0,20.24,27.0,22.94,1.53,-4.06,53.751096,46.600827,69.162791,51.984334,-4.06,2.7,50.554855,72.324059,655,555,187,466
EICA,EICA,EIC,,Term,8.0,05/12/2025,10/31/2023,10/30/2026,0.1,5.00%,23.25,22.68,21.14,Cef,,43.0,,,,,,24.38,1.7,1.13,24.21,23.88,0.69,2.09,23.51,24.6,22.29,24.6,24.33,0.82,-0.27,48.001753,38.222324,77.968992,12.402089,-0.27,2.04,12.320303,76.644845,3276,3111,1526,2638
EICB,EICB,EIC,,Term,8.0,05/12/2025,7/31/2025,7/31/2028,0.16,7.75%,,24.42,21.14,Cef,,43.0,,,,,,24.93,0.51,,24.88,24.92,0.19,0.06,23.63,25.24,23.63,25.5,24.85,1.22,-0.39,49.754601,45.682131,73.007752,13.655352,-0.65,1.22,16.153846,82.013093,6354,6607,6159,6373
EICC,EICC,EIC,,Term,8.0,05/12/2025,4/3/2026,4/30/2029,0.17,8.00%,,,21.14,Cef,,43.0,,,,,,25.04,,,25.01,25.02,0.12,0.07,23.75,25.25,23.75,25.45,24.95,1.2,-0.3,50.0,45.645384,73.255814,12.715405,-0.5,1.2,14.640605,82.144026,18485,21729,18618,19610
EIIA,EIIA,-,,,8.0,05/12/2025,10/31/2026,10/31/2029,0.17,8.13%,,,-,-,,43.0,,,,,,24.96,,,,,,,24.37,25.37,24.37,25.37,24.87,0.5,-0.5,,,81.937984,14.804178,-0.5,0.5,14.640605,86.726678,8732,6125,2892,5916
ESGRO,ESGRO,-,,,9.0,05/15/2025,3/1/2024,NONE,0.44,7.00%,25.62,22.5,-,-,,46.0,,,,,,20.1,-2.4,-5.52,20.25,21.01,-0.75,-4.33,18.9,21.3,18.59,25.47,19.88,0.98,-1.42,53.049956,61.814424,75.984496,24.412533,-5.59,1.29,65.989912,81.554828,11966,8586,7159,9237
ESGRP,ESGRP,-,,,9.0,05/15/2025,9/1/2028,NONE,0.44,7.00%,25.18,22.44,-,-,,46.0,,,,,,20.36,-2.08,-4.82,20.77,21.22,-1.96,-4.04,18.52,21.94,18.52,26.12,20.14,1.62,-1.8,57.291849,60.748737,68.046512,28.381201,-5.98,1.62,69.924338,79.394435,26273,19840,15742,20618
ET PRI,ET-I,ETR,,,8.0,08/01/2025,Never,Never,0.21,9.25%,,,430.81,Utilities,,34.0,,,,,,11.3872,,,11.51,11.62,-1.1,-1.99,10.5,12.19,9.28,12.19,11.25,0.75,-0.94,54.27695,53.215434,78.837209,19.399478,-0.94,1.97,19.079445,77.10311,62912,67529,42276,57572
F PRD,F-D,F,,BB,9.0,04/30/2025,8/15/2027,8/15/2062,0.4,6.50%,,20.79,3980.84,Automanufacturers,,31.0,,,,,,22.76,1.96,,22.38,24.23,1.65,-6.11,20.85,26.06,20.1,26.19,22.49,1.64,-3.57,44.636284,68.355535,67.79845,46.866841,-3.7,2.39,46.923077,74.353519,43914,55390,41479,46928
FCRX,FCRX,CCAP,,BB,8.0,05/30/2025,5/25/2023,5/25/2026,0.31,5.00%,,23.25,37.06,Assetmanagement,,61.0,,,,,,24.85,1.6,,24.73,24.5,0.48,1.43,24.22,25.0,22.5,25.0,24.75,0.53,-0.25,48.737949,40.64768,81.565891,12.193211,-0.25,2.25,12.118537,75.270049,7373,9107,14367,10282
FGN,FGN,FG,,BB,11.0,05/30/2025,12/15/2028,12/15/2053,0.5,7.95%,,,134.94,Insurance,,61.0,,,,,,26.65,,,25.81,26.29,3.25,1.38,24.21,27.65,24.21,27.65,26.49,2.28,-1.16,39.027169,40.831419,59.860465,21.697128,-1.16,2.28,21.298865,75.07365,15920,14998,19918,16946
FGSN,FGSN,FG,,,8.5,07/01/2025,1/15/2030,1/15/2065,0.46,7.30%,,,134.94,Insurance,,3.0,,,,,,24.17,,,,,,,20.51,25.02,20.51,25.02,23.73,3.22,-1.29,,,48.20155,23.05483,-1.29,3.22,22.61034,68.919804,22310,22521,16067,20299
FHN PRB,FHN-B,FHN,FF,,8.5,07/17/2025,8/1/2025,NONE,0.42,6.63%,,,506.74,Regionalbank,,19.0,,,,,,25.66,,,25.22,25.1,1.75,2.22,24.42,25.7,20.58,25.77,25.33,0.91,-0.37,44.285714,37.744603,76.852713,13.446475,-0.44,4.75,14.035309,58.903437,7197,8455,21501,12385
FHN PRC,FHN-C,FHN,NFF,,8.5,07/17/2025,5/1/2026,NONE,0.41,6.60%,,,506.74,Regionalbank,,19.0,,,,,,25.19,,,25.06,25.04,0.5,0.61,23.95,25.75,19.11,25.77,24.87,0.92,-0.88,48.667835,43.661001,76.728682,18.772846,-0.9,5.76,18.675914,52.291326,2492,2162,2604,2419
FHN PRE,FHN-E,FHN,,,8.5,06/25/2025,10/10/2025,NONE,0.41,6.50%,,,506.74,Regionalbank,,87.0,,,,,,23.61,,,23.86,24.15,-1.05,-2.23,22.77,25.71,18.19,25.71,23.6,0.83,-2.11,54.101665,54.097382,77.844961,31.618799,-2.11,5.41,30.882724,54.582651,8139,7271,9522,8311
FITBI,FITBI,FITB,,,10.5,06/26/2025,12/31/2023,NONE,0.52,6.63%,,,667.97,Regionalbank,,88.0,,,,,,25.34,,,25.56,25.7,-0.88,-1.38,24.75,26.25,24.11,26.25,25.33,0.58,-0.92,53.505697,50.973817,80.945736,19.190601,-0.92,1.22,18.87768,82.013093,29593,35330,22332,29085
FLG PRA,FLG-A,FLG,NFF,,8.5,06/06/2025,6/17/2027,NONE,0.4,6.38%,,,415.83,Regionalbank,,68.0,,,,,,20.82,,,22.3,21.16,-6.62,-1.62,20.25,24.15,8.5,24.15,20.72,0.47,-3.43,73.628396,51.855765,82.310078,45.4047,-3.43,12.22,44.199243,10.0,35678,39907,46263,40616
FRMEP,FRMEP,FRME,,,8.0,07/28/2025,8/15/2025,NONE,0.47,7.50%,26.0,23.23,58.20,Regionalbank,,30.0,,,,,,25.39,2.16,-0.61,25.33,25.39,0.25,0.02,24.15,25.9,22.79,26.43,25.08,0.93,-0.82,49.544259,45.829123,76.604651,18.146214,-1.35,2.29,23.215637,75.008183,749,991,297,679
GAINI,GAINI,GAIN,,,8.0,07/14/2025,2/1/2027,2/1/2030,0.49,7.88%,,,36.84,Assetmanagement,,16.0,,,,,,25.42,,,,,,,24.6,25.53,24.6,25.53,25.02,0.42,-0.51,,,82.930233,14.908616,-0.51,0.42,14.741488,87.250409,23929,19066,9472,17489
GAINL,GAINL,GAIN,,BB,8.0,07/15/2025,8/1/2025,8/1/2028,0.5,8.00%,,25.07,36.84,Assetmanagement,,17.0,,,,,,25.53,0.46,,25.64,25.75,-0.43,-0.86,25.27,26.25,24.7,27.13,25.12,-0.15,-1.13,51.928133,49.062931,90.0,21.383812,-2.01,0.42,29.873897,87.250409,3161,2995,2586,2914
GAINN,GAINN,GAIN,,BB,8.0,07/11/2025,5/1/2023,5/1/2026,0.31,5.00%,23.85,23.23,36.84,Assetmanagement,,13.0,,,,,,25.0,1.77,1.15,24.89,24.63,0.45,1.49,24.25,25.13,23.0,25.28,24.73,0.48,-0.4,48.84312,40.427193,82.186047,13.759791,-0.55,1.73,15.145019,78.674304,7546,5573,1862,4994
GAINZ,GAINZ,GAIN,,BB,8.0,07/11/2025,11/1/2023,11/1/2028,0.31,4.75%,23.45,21.85,36.84,Assetmanagement,,13.0,,,,,,23.4,1.55,-0.05,23.05,23.22,1.53,0.79,22.21,24.14,21.38,24.76,23.13,0.92,-1.01,45.056968,42.999541,76.728682,20.130548,-1.63,1.75,26.040353,78.543372,3426,3736,3838,3666
GAM PRB,GAM-B,GAM,,,8.0,06/09/2025,9/24/2008,NONE,0.37,5.95%,26.21,24.28,27.06,Cef,,71.0,,,,,,24.79,0.52,-1.41,24.84,25.18,-0.15,-1.52,24.43,26.24,23.74,26.24,24.72,0.29,-1.52,50.946538,51.488287,84.542636,25.456919,-1.52,0.98,24.930643,83.584288,8257,10677,5073,8002
GECCH,GECCH,GECC,,BB,8.0,06/13/2025,12/30/2026,12/31/2029,0.5,8.13%,,,11.54,Assetmanagement,,75.0,,,,,,25.13,,,,,,,24.38,25.44,24.38,25.44,25.05,0.67,-0.39,,,79.829457,13.655352,-0.39,0.67,13.530895,85.613748,5771,3163,2938,3957
GECCI,GECCI,GECC,,,8.0,06/13/2025,4/30/2026,4/30/2029,0.53,8.50%,,,11.54,Assetmanagement,,75.0,,,,,,25.05,,,25.16,25.21,-0.42,-0.63,24.75,25.48,24.67,25.7,24.96,0.21,-0.52,51.893076,48.217731,85.534884,15.013055,-0.74,0.29,17.061791,88.101473,1205,1386,793,1128
GECCO,GECCO,GECC,,BB,8.0,06/13/2025,6/30/2023,6/30/2026,0.36,5.88%,24.75,24.05,11.54,Assetmanagement,,75.0,,,,,,25.01,0.96,0.26,25.25,24.93,-0.95,0.34,24.26,27.2,23.0,27.2,24.95,0.69,-2.25,53.751096,44.653192,79.581395,33.08094,-2.25,1.95,32.295082,77.234043,1130,928,711,923
GECCZ,GECCZ,GECC,,BB,8.0,06/13/2025,9/30/2025,9/30/2028,0.54,8.75%,,24.64,11.54,Assetmanagement,,,,,,,,25.14,,,,,,,,,,,25.14,,,,,,,,,,,1620,1654,1778,1684
GLADZ,GLADZ,GLAD,,BB,8.0,05/15/2025,9/1/2025,9/1/2028,0.48,7.75%,,25.02,22.33,Cef,,46.0,,,,,,25.38,0.36,,25.49,25.46,-0.43,-0.3,24.97,25.98,24.45,25.98,25.15,0.18,-0.83,51.928133,47.005053,85.906977,18.250653,-0.83,0.7,17.969735,85.417349,4275,4577,1698,3516
GMRE PRA,GMRE-A,GMRE,,,8.0,07/11/2025,9/15/2022,NONE,0.47,7.50%,25.54,24.46,66.88,Reit,,13.0,,,,,,25.16,0.7,-0.38,25.03,25.14,0.5,0.08,23.38,26.26,23.32,26.26,24.76,1.38,-1.5,48.667835,45.608636,71.023256,25.248042,-1.5,1.44,24.728878,80.572831,3928,3165,2252,3115
GNL PRA,GNL-A,GNL,,,8.0,07/02/2025,9/12/2022,NONE,0.45,7.25%,25.75,16.96,229.01,Reit,,4.0,,,,,,22.48,5.52,-3.27,22.15,22.12,1.48,1.62,19.36,23.77,16.42,23.77,22.05,2.69,-1.72,45.232252,39.949472,54.775194,27.545692,-1.72,5.63,26.948298,53.14239,7999,6364,3869,6077
GNL PRB,GNL-B,GNL,,,8.0,07/02/2025,11/26/2024,NONE,0.43,6.88%,26.04,16.01,229.01,Reit,,4.0,,,,,,21.16,5.15,-4.88,21.09,21.23,0.33,-0.33,18.68,23.25,15.61,24.21,20.75,2.07,-2.5,49.263804,47.115296,62.465116,35.691906,-3.46,5.14,44.501892,56.350245,6725,6056,2122,4968
GNL PRD,GNL-D,GNL,,,8.0,07/03/2025,3/26/2024,NONE,0.47,7.50%,,17.92,229.01,Reit,,5.0,,,,,,22.82,4.9,,22.75,22.51,0.31,1.37,20.25,23.97,16.44,24.47,22.38,2.13,-1.59,49.333918,40.868167,61.72093,26.18799,-2.09,5.94,30.680958,51.11293,9129,7170,6711,7670
GNL PRE,GNL-E,GNL,,,8.0,07/03/2025,12/15/2025,NONE,0.46,7.38%,,17.64,229.01,Reit,,5.0,,,,,,22.18,4.54,,22.32,22.25,-0.61,-0.31,20.29,23.72,16.1,23.79,21.75,1.46,-1.97,52.559159,47.041801,70.031008,30.156658,-2.04,5.65,30.176545,53.011457,5270,4142,5194,4869
GPMT PRA,GPMT-A,GPMT,NFF,,8.0,06/30/2025,1/15/2027,NONE,0.44,7.00%,,,48.41,Reit,,2.0,,,,,,18.6,,,17.68,17.12,5.22,8.66,16.2,19.22,15.38,19.22,18.17,1.97,-1.05,32.120947,14.079008,63.705426,20.548303,-1.05,2.79,20.189155,71.734861,10671,8592,4443,7902
GS PRA,GS-A,GS,FLR,,9.5,07/24/2025,4/10/2010,NONE,0.34,3.75%,,,306.83,Bank,,26.0,,,,,,21.33,,,22.22,23.02,-4.0,-7.36,20.84,24.48,20.06,24.48,21.09,0.25,-3.39,64.443471,72.949012,85.03876,44.986945,-3.39,1.03,43.795712,83.256956,37043,39352,47943,41446
GS PRC,GS-C,GS,FLR,,9.5,07/24/2025,5/24/2011,NONE,0.34,4.00%,,,306.83,Bank,,26.0,,,,,,21.48,,,22.59,23.56,-4.91,-8.82,21.14,25.03,20.37,25.24,21.24,0.1,-3.79,67.633655,78.314194,86.899225,49.164491,-4.0,0.87,49.949559,84.304419,13366,14748,21542,16552
GS PRD,GS-D,GS,FLR,,9.5,07/24/2025,10/31/2010,NONE,0.33,4.00%,,,306.83,Bank,,26.0,,,,,,21.06,,,21.98,22.71,-4.17,-7.28,20.0,23.83,20.0,23.83,20.83,0.83,-3.0,65.039439,72.65503,77.844961,40.913838,-3.0,0.83,39.861286,84.566285,75460,77235,101765,84820
GSL PRB,GSL-B,GSL,,,8.0,06/23/2025,8/20/2019,NONE,0.55,8.75%,,,35.74,Marineshipping,,85.0,,,,,,26.17,,,26.11,26.3,0.19,-0.53,24.75,27.0,24.75,28.85,26.13,1.38,-0.87,49.754601,47.850253,71.023256,18.668407,-2.72,1.38,37.03657,80.96563,5256,5501,4686,5147
HBANL,HBANL,HBAN,NFF,,10.5,07/01/2025,4/15/2028,NONE,0.43,6.88%,,,1455.68,Regionalbank,,3.0,,,,,,25.28,,,25.23,25.45,0.2,-0.65,24.32,26.61,20.76,26.61,24.86,0.54,-1.75,49.719544,48.291226,81.44186,27.859008,-1.75,4.1,27.250946,63.158756,16963,17930,16463,17118
HCXY,HCXY,HTGC,,BB,8.0,07/11/2025,10/30/2023,10/30/2033,0.39,6.25%,25.31,23.56,175.77,Assetmanagement,,13.0,,,,,,25.0,1.44,-0.31,24.99,25.1,0.03,-0.38,24.42,25.98,22.7,25.98,24.67,0.25,-1.31,50.315513,47.299035,85.03876,23.263708,-1.31,1.97,22.812106,77.10311,1019,802,658,826
HNNAZ,HNNAZ,HNNA,,BB,8.0,06/13/2025,12/31/2023,12/31/2026,0.31,4.88%,24.59,23.49,7.79,Assetmanagement,,75.0,,,,,,24.84,1.35,0.25,24.59,24.3,1.02,2.21,23.85,25.57,22.25,25.57,24.79,0.94,-0.78,46.844873,37.78135,76.48062,17.72846,-0.78,2.54,17.465322,73.371522,539,647,404,530
HOVNP,HOVNP,HOVN,,,2.5,06/27/2025,7/12/2010,NONE,0.48,7.63%,,,-,-,,89.0,,,,,,16.42,,,16.71,17.42,-1.72,-5.75,16.05,18.2,16.05,19.89,16.41,0.36,-1.79,56.450482,67.032614,83.674419,28.276762,-3.48,0.36,44.703657,87.643208,12131,12117,10675,11641
HPP PRC,HPP-C,HPP,,,7.0,06/16/2025,11/16/2026,NONE,0.3,4.75%,21.92,10.5,141.39,Reit,,78.0,,,,,,14.7,4.21,-7.21,13.19,13.4,11.53,9.77,11.23,15.8,8.91,15.8,14.67,3.44,-1.13,10.0,10.0,45.472868,21.383812,-1.13,5.76,20.996217,52.291326,28575,31038,41464,33692
HROWL,HROWL,HROW,,BB,8.0,07/11/2025,2/1/2026,4/30/2026,0.54,8.63%,24.39,23.7,36.69,Healthcare,,13.0,,,,,,25.59,1.89,1.2,25.29,25.31,1.17,1.1,25.0,25.71,22.05,25.73,25.13,0.13,-0.58,46.319018,41.860358,86.527132,15.639687,-0.6,3.08,15.649433,69.836334,4042,4081,4106,4076
HROWM,HROWM,HROW,,BB,8.0,07/11/2025,12/31/2024,12/31/2027,0.74,11.88%,,25.2,36.69,Healthcare,,13.0,,,,,,26.55,1.35,,26.41,26.4,0.54,0.57,24.9,27.7,22.71,27.72,25.92,1.02,-1.78,48.527607,43.807993,75.488372,28.172324,-1.8,3.21,27.755359,68.98527,2480,2481,2592,2518
HTFB,HTFB,HRZN,,BB,8.0,06/13/2025,3/30/2023,3/30/2026,0.31,4.88%,24.49,23.53,40.36,Assetmanagement,,75.0,,,,,,24.92,1.4,0.44,24.91,24.63,0.06,1.2,24.3,26.11,23.27,26.11,24.88,0.58,-1.23,50.210342,41.49288,80.945736,22.428198,-1.23,1.61,22.005044,79.459902,1989,2990,50,1676
HTFC,HTFC,HRZN,,BB,8.0,06/13/2025,6/15/2024,6/15/2027,0.39,4.88%,25.25,24.2,40.36,Assetmanagement,,75.0,,,,,,24.45,0.25,-0.8,24.4,24.23,0.19,0.9,23.84,24.83,22.9,24.83,24.38,0.54,-0.45,49.754601,42.595315,81.44186,14.281984,-0.45,1.48,14.136192,80.310966,2929,2887,1572,2462
INBKZ,INBKZ,INBK,FF,,8.0,05/15/2025,6/30/2024,6/30/2029,0.54,6.00%,,,8.70,Regionalbank,,46.0,,,,,,24.49,,,24.44,24.89,0.19,-1.61,23.0,25.65,19.21,25.65,24.23,1.23,-1.42,49.754601,51.819017,72.883721,24.412533,-1.42,5.02,23.921816,57.135843,2012,1926,1592,1843
IVR PRC,IVR-C,IVR,NFF,,8.0,06/05/2025,9/27/2027,NONE,0.47,7.50%,,,65.94,Reit,,67.0,,,,,,23.49,,,23.77,23.87,-1.18,-1.57,20.23,25.2,17.52,25.2,23.37,3.14,-1.83,54.557406,51.672026,49.193798,28.694517,-1.83,5.85,28.058008,51.702128,10381,10093,9161,9878
JXN PRA,JXN-A,JXN,NFF,,10.0,06/12/2025,3/30/2028,NONE,0.5,8.00%,,,71.42,Insurance,,74.0,,,,,,25.65,,,25.97,26.41,-1.23,-2.87,25.25,27.5,23.6,27.69,25.56,0.31,-1.94,54.732691,56.449242,84.294574,29.843342,-2.13,1.96,31.084489,77.168576,27497,31587,28369,29151
KEY PRI,KEY-I,KEY,NFF,,10.5,05/28/2025,12/15/2026,NONE,0.38,6.13%,,,1095.55,Regionalbank,,59.0,,,,,,24.62,,,24.74,24.6,-0.49,0.09,23.5,25.78,17.66,25.97,24.49,0.99,-1.29,52.138475,45.571888,75.860465,23.05483,-1.48,6.83,24.527112,45.286416,26195,24680,24547,25141
KEY PRL,KEY-L,KEY,NFF,,10.5,05/28/2025,9/15/2027,NONE,0.39,6.20%,,,1095.55,Regionalbank,,59.0,,,,,,24.41,,,24.38,24.19,0.12,0.91,22.33,25.65,16.3,25.65,24.28,1.95,-1.37,50.0,42.558567,63.953488,23.890339,-1.37,7.98,23.417402,37.757774,39626,38599,36777,38334
KMPB,KMPB,KMPR,NFF,,10.0,05/30/2025,3/15/2027,3/15/2062,0.37,5.88%,,,63.97,Insurance,,61.0,,,,,,23.73,,,22.75,23.0,4.32,3.18,20.69,23.93,16.62,23.94,23.61,2.92,-0.32,35.276074,34.216812,51.922481,12.924282,-0.33,6.99,12.925599,44.238953,13832,15999,21974,17268
LBRDP,LBRDP,LBRDA,,,8.0,06/27/2025,,3/9/2039,0.44,7.00%,26.23,21.31,143.16,Communicationservices,,89.0,,,,,,25.05,3.74,-1.18,24.58,24.17,1.93,3.64,23.39,26.88,20.9,26.88,25.05,1.66,-1.83,43.654689,32.526412,67.550388,28.694517,-1.83,4.15,28.058008,62.831424,12609,4047,5009,7222
LNC PRD,LNC-D,LNC,,,11.0,05/15/2025,12/1/2027,NONE,0.56,9.00%,,26.41,170.70,Insurance,,46.0,,,,,,26.69,0.28,,26.83,27.55,-0.52,-3.13,25.78,28.89,25.4,28.89,26.42,0.64,-2.47,52.243646,57.404685,80.20155,35.37859,-2.47,1.02,34.514502,83.322422,24403,28204,34589,29066
MBINL,MBINL,MBIN,,,8.0,06/12/2025,1/1/2030,NONE,0.48,7.63%,,,45.76,Regionalbank,,74.0,,,,,,23.27,,,,,,,22.83,25.9,22.83,25.9,23.18,0.35,-2.72,,,83.79845,37.989556,-2.72,0.35,37.03657,87.708674,63335,32107,20025,38489
MBINM,MBINM,MBIN,NFF,,8.0,06/13/2025,10/1/2027,NONE,0.52,8.25%,,,45.76,Regionalbank,,75.0,,,,,,25.09,,,25.42,25.75,-1.29,-2.55,24.8,26.92,21.6,26.92,25.0,0.2,-1.92,54.943032,55.273312,85.658915,29.634465,-1.92,3.4,28.965952,67.741408,5483,5922,8748,6717
