PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,PREF YF,FF-FR_,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
REXR PRB,REXR,,NR,12/13/2024,,,0.37,5.88%,25.39,21.16,c575,22.33,1.17,-3.06,23.06,22.86,-3.16,-2.32,22.15,24.43,20.6,24.57,73.0,22.26,0.11,-2.17,62.167577,38.892388,83.353116,30.261438,-3.13,1.1,48.347826,62.61745,-2.31,1.66,30.327869,72.78607,4993,3802,1147,3314,,,,,,,,,,
REXR PRC,REXR,,NR,11/15/2024,,,0.35,5.63%,26.1,20.05,c550,20.97,0.91,-5.14,21.7,21.99,-3.43,-4.66,20.13,24.22,19.71,24.54,45.0,20.79,0.66,-3.43,63.479053,48.71916,70.296736,46.732026,-5.31,0.74,67.304348,65.838926,-3.75,1.08,49.213115,78.557214,7423,3790,1425,4213,,,,,,,,,,
RF PRE,RF,,10,11/27/2024,,,0.28,4.45%,20.69,15.45,c450,17.5,2.05,-3.19,17.42,18.19,0.44,-3.78,16.41,19.98,14.16,19.98,57.0,17.4,0.99,-2.58,44.681239,45.023622,62.462908,35.620915,-3.29,1.95,49.73913,55.011186,-2.58,3.24,33.868852,57.064677,28617,26343,29117,28026,,,,,,,,,,
RNR PRF,RNR,,12,11/27/2024,,,0.36,5.75%,25.11,20.71,c550,21.43,0.72,-3.68,21.6,23.08,-0.77,-7.13,20.8,24.9,20.43,25.1,57.0,21.3,0.5,-3.6,50.558591,59.091864,74.094955,48.954248,-3.81,0.59,54.26087,67.181208,-3.8,0.87,49.868852,80.646766,16224,18127,21443,18598,,,,,,,,,,
RNR PRG,RNR,,12,11/27/2024,,,0.26,4.20%,20.02,15.35,c425,15.88,0.53,-4.14,15.87,17.22,0.06,-7.8,14.26,18.73,14.26,19.46,57.0,15.78,1.52,-2.95,46.527019,61.905512,49.881306,40.457516,-4.24,0.43,58.0,68.612975,-3.68,1.52,48.295082,74.179104,28870,30988,17546,25802,,,,,,,,,,
SCE PRG,EIX,TP,10,12/13/2024,,,0.32,5.10%,20.73,17.2,c500,16.76,-0.44,-3.97,17.37,19.33,-3.53,-13.28,16.32,21.69,16.32,21.7,73.0,16.7,0.38,-4.99,63.964784,84.918635,76.94362,67.124183,-4.03,-0.5,56.173913,76.935123,-5.0,0.38,65.606557,85.522388,17357,14638,10102,14032,,,,,,,,,,
SCE PRL,EIX,TP,10,12/13/2024,,,0.31,5.00%,20.24,16.94,c500,16.17,-0.77,-4.07,16.95,18.9,-4.61,-14.44,15.98,21.09,15.98,21.32,73.0,16.11,0.13,-4.98,69.210686,89.790026,82.878338,66.993464,-4.13,-0.83,57.043478,79.888143,-5.21,0.13,68.360656,88.00995,43656,32088,38383,38042,,,,,,,,,,
SCHW PRD,SCHW,,12,11/13/2024,,,0.37,5.95%,25.94,22.65,c575,24.95,2.3,-0.99,24.87,25.14,0.34,-0.75,24.25,25.71,22.29,25.71,43.0,24.76,0.51,-0.95,45.16697,32.299213,73.857567,14.313725,-1.18,2.11,31.391304,53.579418,-0.95,2.47,12.491803,64.726368,44756,52223,58025,51668,,,,,,,,,,
SCHW PRJ,SCHW,,12,11/13/2024,,,0.28,4.45%,23.4,16.75,c450,18.85,2.1,-4.55,19.16,20.25,-1.63,-6.9,18.33,22.57,16.63,22.6,43.0,18.7,0.37,-3.87,54.735883,58.125984,77.181009,52.48366,-4.7,1.95,62.0,55.011186,-3.9,2.07,51.180328,68.706468,55522,55024,62037,57528,,,,,,,,,,
SF PRB,SF,,8,12/2/2024,,,0.39,6.25%,26.94,22.01,c625,23.62,1.61,-3.32,23.77,24.45,-0.64,-3.41,22.22,25.39,21.56,25.73,62.0,23.5,1.28,-1.89,49.92714,43.469816,55.578635,26.601307,-3.44,1.49,51.043478,59.127517,-2.23,1.94,29.278689,70.0,6718,7214,8994,7642,,,,,,,,,,
SF PRC,SF,,8,12/2/2024,,,0.38,6.13%,27.0,22.12,c625,22.88,0.76,-4.12,23.34,24.38,-1.96,-6.15,21.81,25.86,21.27,26.47,62.0,22.76,0.95,-3.1,56.338798,54.976378,63.412463,42.418301,-4.24,0.64,58.0,66.733781,-3.71,1.49,48.688525,74.477612,10994,12113,16415,13174,,,,,,,,,,
SF PRD,SF,,8,12/2/2024,,,0.28,4.50%,20.54,15.64,c450,,1.67,-3.23,17.5,18.55,-1.09,-6.68,15.85,21.71,15.0,21.74,62.0,17.22,1.37,-4.49,52.112933,57.2021,53.442136,60.588235,-3.32,1.58,50.0,58.322148,-4.52,2.22,59.311475,67.21393,18609,17141,22916,19555,,,,,,,,,,
SHO PRH,SHO,,NR,12/27/2024,,,0.38,6.13%,23.75,20.4,c625,20.69,0.29,-3.06,20.7,21.69,-0.06,-4.62,19.14,24.22,19.14,24.27,87.0,20.68,1.54,-3.54,47.109897,48.551181,49.406528,48.169935,-3.07,0.28,47.826087,69.955257,-3.59,1.54,47.114754,73.9801,6816,6583,1470,4956,,,,,,,,,,
SHO PRI,SHO,,NR,12/27/2024,,,0.36,5.70%,22.98,19.43,c550,19.43,0.0,-3.55,19.48,20.44,-0.26,-4.92,17.96,22.79,17.96,22.79,87.0,19.42,1.46,-3.37,48.08136,49.811024,51.305638,45.947712,-3.56,-0.01,52.086957,72.550336,-3.37,1.46,44.229508,74.776119,6531,6016,1270,4606,,,,,,,,,,
SIGIP,SIGI,,10,11/27/2024,,,0.29,4.60%,20.74,15.48,c450,17.09,1.61,-3.65,17.51,18.31,-2.42,-6.66,16.61,20.3,15.17,20.3,57.0,16.98,0.37,-3.32,58.573163,57.11811,77.181009,45.294118,-3.76,1.5,53.826087,59.038031,-3.32,1.81,43.57377,71.293532,4834,4029,3008,3957,,,,,,,,,,
SLG PRI,SLG,,9.5,12/17/2024,,,0.41,6.50%,25.67,18.15,c650,21.65,3.5,-4.02,22.21,22.7,-2.5,-4.62,20.56,24.53,16.6,24.87,77.0,21.59,1.03,-2.94,58.961749,48.551181,61.513353,40.326797,-4.08,3.44,56.608696,41.677852,-3.28,4.99,43.04918,39.651741,13358,10586,12440,12128,,,,,,,,,,
SOJC,SO,BB,11.5,11/29/2024,,,0.33,5.25%,25.69,20.75,c525,21.59,0.84,-4.1,21.64,22.93,-0.22,-5.84,21.05,24.92,20.35,25.07,59.0,21.48,0.43,-3.44,47.887067,53.674541,75.756677,46.862745,-4.21,0.73,57.73913,65.928412,-3.59,1.13,47.114754,78.059701,25585,24126,23746,24486,,,,,,,,,,
SOJD,SO,BB,11.5,10/29/2024,,,0.31,4.95%,23.86,19.45,c500,20.02,0.57,-3.84,20.29,21.65,-1.32,-7.52,19.26,23.95,19.26,24.55,28.0,19.81,0.55,-4.14,53.230115,60.729659,72.908012,56.013072,-4.05,0.36,56.347826,69.239374,-4.74,0.55,62.196721,83.830846,84500,78197,81739,81479,,,,,,,,,,
SOJE,SO,BB,11.5,1/10/2025,,,0.26,4.20%,20.96,17.42,c425,17.62,0.2,-3.34,17.92,19.4,-1.7,-9.19,16.99,21.92,16.99,22.35,11.0,17.39,0.4,-4.53,55.075896,67.742782,76.468843,61.111111,-3.57,-0.03,52.173913,72.729306,-4.96,0.4,65.081967,85.323383,54327,53489,44049,50622,,,,,,,,,,
SR PRA,SR,,11,10/25/2024,8/15/2024,,0.37,5.90%,26.15,21.87,c575,23.7,1.83,-2.45,24.06,24.31,-1.5,-2.51,23.2,25.39,21.36,25.39,24.0,23.43,0.23,-1.96,54.104432,39.690289,80.504451,27.51634,-2.72,1.56,44.782609,58.501119,-1.96,2.07,25.737705,68.706468,16451,14956,15170,15526,,,,,,,,,,
SREA,SRE,BB,11.5,12/13/2024,,,0.36,5.75%,25.24,21.16,c550,20.94,-0.22,-4.3,21.24,23.12,-1.41,-9.42,19.6,25.2,19.6,25.47,73.0,20.87,1.27,-4.33,53.667274,68.708661,55.816024,58.496732,-4.37,-0.29,59.130435,75.055928,-4.6,1.27,60.360656,76.666667,51975,57703,35445,48374,,,,,,,,,,
STT PRG,STT,,13,11/27/2024,,,0.33,5.35%,26.9,21.63,c525,21.88,0.25,-5.02,22.5,23.79,-2.77,-8.02,21.32,25.16,21.32,25.16,57.0,21.76,0.44,-3.4,60.273224,62.829396,75.519288,46.339869,-5.14,0.13,65.826087,71.297539,-3.4,0.44,44.622951,84.925373,40842,43237,43816,42632,,,,,,,,,,
SYF PRA,SYF,,NR,10/30/2024,11/15/2024,,0.35,5.63%,22.14,15.28,c550,18.67,3.39,-3.47,18.14,19.27,2.94,-3.1,16.19,21.62,14.51,21.94,29.0,18.43,2.24,-3.19,32.537948,42.167979,32.789318,43.594771,-3.71,3.15,53.391304,44.272931,-3.51,3.92,46.065574,50.298507,53975,50636,39710,48107,,,,,,,,,,
T PRA,T,,10,1/7/2025,12/12/2024,,0.31,5.00%,23.49,18.31,c500,20.1,1.79,-3.39,20.28,21.09,-0.87,-4.71,19.15,22.75,18.2,22.8,8.0,19.82,0.67,-2.93,51.044323,48.929134,70.059347,40.196078,-3.67,1.51,53.043478,58.948546,-2.98,1.62,39.114754,73.18408,98183,91406,75101,88230,,,,,,,,,,
T PRC,T,,10,1/7/2025,2/18/2025,,0.3,4.75%,21.55,17.25,c475,19.1,1.85,-2.45,19.19,19.99,-0.47,-4.43,18.2,21.69,17.02,21.71,8.0,18.83,0.63,-2.86,49.101396,47.753281,71.008902,39.281046,-2.72,1.58,44.782609,58.322148,-2.88,1.81,37.803279,71.293532,132174,126090,136500,131588,,,,,,,,,,
TBB,T,BB,12,10/17/2024,,,0.33,5.35%,24.98,20.32,c525,22.51,2.19,-2.47,22.78,23.47,-1.21,-4.11,21.55,24.9,20.26,24.9,16.0,22.24,0.69,-2.66,52.695811,46.409449,69.58457,36.666667,-2.74,1.92,44.956522,55.279642,-2.66,1.98,34.918033,69.60199,75650,58923,56730,63768,,,,,,,,,,
TBC,T,BB,12,10/17/2024,8/1/2023,,0.35,5.63%,,,c550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCBIO,TCBI,,8,12/2/2024,6/15/2026,,0.36,5.75%,24.5,16.01,c550,21.02,5.01,-3.48,20.06,20.35,4.8,3.29,18.11,21.87,15.52,22.71,62.0,20.91,2.8,-0.96,23.503339,15.333333,19.495549,14.444444,-3.59,4.9,52.347826,28.612975,-1.8,5.39,23.639344,35.671642,20534,17547,14869,17650,,,,,,,,,,
TDS PRU,TDS,,7,12/13/2024,,,0.41,6.63%,24.25,14.26,c650,19.71,5.45,-4.54,20.31,20.74,-2.97,-4.95,18.71,22.88,13.31,22.88,73.0,19.63,0.92,-3.25,61.244687,49.937008,64.124629,44.379085,-4.62,5.37,61.304348,24.407159,-3.25,6.32,42.655738,26.41791,26767,21593,28363,25574,,,,,,,,,,
TDS PRV,TDS,,7,12/13/2024,9/30/2026,,0.38,6.00%,22.28,12.88,c600,18.1,5.22,-4.18,17.98,18.47,0.67,-1.99,16.25,20.48,12.01,20.48,73.0,18.03,1.78,-2.45,43.564056,37.506562,43.709199,33.921569,-4.25,5.15,58.086957,26.375839,-2.45,6.02,32.163934,29.402985,43916,39342,40286,41181,,,,,,,,,,
TFC PRO,TFC,,11.5,11/8/2024,,,0.33,5.25%,25.2,19.78,c525,21.15,1.37,-4.05,21.31,22.38,-0.76,-5.49,19.69,24.46,19.43,24.83,38.0,20.96,1.27,-3.5,50.510018,52.204724,55.816024,47.647059,-4.24,1.18,58.0,61.901566,-3.87,1.53,50.786885,74.079602,47097,39397,40141,42212,,,,,,,,,,
TFC PRR,TFC,,11.5,11/8/2024,,,0.3,4.75%,22.49,17.71,c475,18.96,1.25,-3.53,19.29,20.26,-1.71,-6.42,18.41,22.27,17.29,22.62,38.0,18.79,0.38,-3.48,55.124469,56.110236,76.94362,47.385621,-3.7,1.08,53.304348,62.796421,-3.83,1.5,50.262295,74.378109,69470,60926,58621,63006,,,,,,,,,,
TRTN PRD,-,,NR,12/6/2024,3/15/2025,,0.43,6.88%,25.95,21.62,c675,22.55,0.93,-3.4,21.93,23.26,2.84,-3.05,19.76,25.01,19.76,25.67,66.0,22.44,2.68,-2.57,33.023679,41.958005,22.344214,35.490196,-3.51,0.82,51.652174,65.123043,-3.23,2.68,42.393443,62.636816,9411,9310,10758,9827,,,,,,,,,,
TRTN PRE,-,,NR,12/6/2024,,,0.36,5.75%,23.79,17.8,c550,18.75,0.95,-5.04,18.75,20.42,0.01,-8.16,16.9,23.17,16.9,23.3,66.0,18.65,1.75,-4.52,46.769885,63.417323,44.421365,60.980392,-5.14,0.85,65.826087,64.854586,-4.65,1.75,61.016393,71.890547,6906,7019,4681,6202,,,,,,,,,,
TRTX PRC,TRTX,,NR,12/16/2024,6/14/2026,,0.39,6.25%,18.83,13.81,c625,17.55,3.74,-1.28,17.69,18.09,-0.79,-2.97,16.01,20.0,13.0,20.0,76.0,17.49,1.48,-2.51,50.655738,41.622047,50.830861,34.705882,-1.34,3.68,32.782609,39.530201,-2.51,4.49,32.95082,44.626866,7250,7399,5375,6674,,,,,,,,,,
TY PR,TY,,NR,12/5/2024,,,0.31,5.00%,50.11,43.5,c500,44.29,0.8,-5.81,44.6,45.82,-0.68,-3.32,43.13,48.65,42.0,49.19,65.0,44.21,1.08,-4.44,50.121433,43.091864,60.326409,59.934641,-5.9,0.71,72.434783,66.107383,-4.98,2.21,65.344262,67.313433,533,453,190,392,,,,,,,,,,
UNMA,UNM,BB,10,11/29/2024,,,0.39,6.25%,26.19,21.92,c625,23.23,1.31,-2.96,24.48,24.83,-5.11,-6.44,23.1,25.46,21.49,26.05,59.0,23.1,0.0,-2.36,71.639344,56.194226,85.964392,32.745098,-3.09,1.18,48.0,61.901566,-2.95,1.61,38.721311,73.283582,13265,12463,11243,12324,,,,,,,,,,
USB PRP,USB,,13.5,12/30/2024,,,0.34,5.50%,25.25,19.75,c550,22.78,3.03,-2.47,22.93,23.85,-0.64,-4.47,21.46,25.43,19.0,25.43,0.0,22.44,0.98,-2.99,49.92714,47.92126,62.700297,40.980392,-2.81,2.69,45.565217,48.389262,-2.99,3.44,39.245902,55.074627,34992,36179,37948,36373,,,,,,,,,,
USB PRQ,USB,,13.5,12/27/2024,,,0.23,3.75%,19.57,13.5,c400,15.28,1.78,-4.29,15.55,16.64,-1.76,-8.19,14.66,18.59,13.32,18.6,87.0,15.27,0.61,-3.32,55.367335,63.543307,71.48368,45.294118,-4.3,1.77,58.521739,56.621924,-3.33,1.95,43.704918,69.900498,41326,38487,55976,45263,,,,,,,,,,
USB PRR,USB,,13.5,12/27/2024,,,0.25,4.00%,21.05,14.57,c400,16.33,1.75,-4.73,16.59,17.76,-1.61,-8.12,15.62,20.09,14.24,20.35,87.0,16.31,0.69,-3.78,54.638737,63.249344,69.58457,51.30719,-4.74,1.74,62.347826,56.89038,-4.04,2.07,53.016393,68.706468,49759,43121,51745,48208,,,,,,,,,,
USB PRS,USB,,13.5,12/27/2024,,,0.28,4.50%,22.08,16.44,c450,18.73,2.29,-3.35,18.99,20.21,-1.35,-7.33,18.04,22.54,16.22,22.97,87.0,18.72,0.68,-3.82,53.375835,59.931759,69.821958,51.830065,-3.36,2.28,50.347826,52.058166,-4.25,2.5,55.770492,64.427861,41596,35961,27636,35064,,,,,,,,,,
UZD,USM,BB,9.5,11/29/2024,9/1/2025,,0.39,6.25%,24.16,16.77,c625,23.88,7.11,-0.28,23.7,23.41,0.77,2.01,22.0,24.37,15.78,24.8,59.0,23.75,1.75,-0.62,43.078324,20.708661,44.421365,10.0,-0.41,6.98,24.695652,10.0,-1.05,7.97,13.803279,10.0,39825,38960,50850,43212,,,,,,,,,,
UZE,USM,BB,9.5,11/29/2024,,,0.34,5.50%,21.8,14.93,c550,20.88,5.95,-0.92,21.69,21.78,-3.73,-4.13,20.25,23.22,13.7,23.8,59.0,20.76,0.51,-2.46,64.936248,46.493438,73.857567,34.052288,-1.04,5.83,30.173913,20.290828,-3.04,7.06,39.901639,19.054726,36282,32213,37621,35372,,,,,,,,,,
UZF,USM,BB,9.5,11/29/2024,6/1/2026,,0.34,5.50%,21.75,15.44,c550,20.83,5.39,-0.92,21.73,21.79,-4.15,-4.4,20.3,23.5,13.61,23.7,59.0,20.71,0.41,-2.79,66.976321,47.627297,76.231454,38.366013,-1.04,5.27,30.173913,25.302013,-2.99,7.1,39.245902,18.656716,30097,26017,30393,28836,,,,,,,,,,
VNO PRL,VNO,,10.5,12/13/2024,,,0.34,5.40%,24.16,13.75,c525,17.85,4.11,-6.3,17.52,17.5,1.96,2.04,15.25,19.46,13.11,19.46,73.0,17.8,2.55,-1.66,37.298118,20.582677,25.430267,23.594771,-6.36,4.05,76.434783,36.219239,-1.66,4.69,21.803279,42.636816,19678,17678,17419,18258,,,,,,,,,,
VNO PRM,VNO,,10.5,12/13/2024,,,0.33,5.25%,23.4,13.71,c525,17.11,3.4,-6.29,16.96,17.03,0.91,0.47,14.75,18.99,13.17,18.99,73.0,17.05,2.3,-1.94,42.3983,27.175853,31.364985,27.254902,-6.35,3.34,76.347826,42.572707,-1.94,3.88,25.47541,50.696517,20018,18945,9600,16188,,,,,,,,,,
VNO PRN,VNO,,10.5,12/13/2024,,,0.33,5.25%,22.92,13.76,c525,17.13,3.37,-5.79,17.0,17.1,0.78,0.15,14.81,18.97,13.31,18.97,73.0,17.07,2.26,-1.9,43.029751,28.519685,32.31454,26.732026,-5.85,3.31,72.0,42.841163,-1.9,3.76,24.95082,51.890547,18192,17972,17758,17974,,,,,,,,,,
VNO PRO,VNO,,10.5,12/13/2024,,,0.28,4.50%,19.7,11.6,c450,14.55,2.95,-5.15,14.62,14.99,-0.48,-2.96,12.51,17.34,11.28,17.34,73.0,14.5,1.99,-2.84,49.14997,41.580052,38.724036,39.019608,-5.2,2.9,66.347826,46.510067,-2.84,3.22,37.278689,57.263682,21534,21377,20186,21032,,,,,,,,,,
WAFDP,WAFD,,10,12/27/2024,4/15/2026,,0.3,4.88%,22.2,12.6,c475,15.94,3.34,-6.26,16.21,16.86,-1.67,-5.46,15.24,19.49,12.02,19.75,87.0,15.93,0.69,-3.56,54.930176,52.07874,69.58457,48.431373,-6.27,3.33,75.652174,42.662192,-3.82,3.91,50.131148,50.39801,18171,18448,20084,18901,,,,,,,,,,
WBS PRF,WBS,,10,12/2/2024,,,0.33,5.25%,24.4,15.52,c525,19.09,3.57,-5.31,19.3,20.23,-1.09,-5.62,18.02,22.54,15.1,22.54,62.0,18.99,0.97,-3.55,52.112933,52.750656,62.937685,48.300654,-5.41,3.47,68.173913,41.409396,-3.55,3.89,46.590164,50.597015,7374,5440,7789,6868,,,,,,,,,,
WFC PRA,WFC,,11,11/27/2024,12/15/2025,,0.29,4.70%,21.54,17.53,c475,,1.28,-2.73,18.98,20.14,-0.89,-6.61,18.0,22.05,17.36,22.21,57.0,18.7,0.7,-3.35,51.141469,56.908136,69.347181,45.686275,-2.84,1.17,45.826087,61.991051,-3.51,1.34,46.065574,75.970149,78973,77086,109057,88372,,,,,,,,,,
WFC PRC,WFC,,11,11/27/2024,,,0.27,4.38%,20.19,16.05,c425,17.62,1.57,-2.57,17.79,18.99,-0.94,-7.2,16.85,20.7,15.89,21.18,57.0,17.52,0.67,-3.18,51.384335,59.385827,70.059347,43.464052,-2.67,1.47,44.347826,59.306488,-3.66,1.63,48.032787,73.084577,74313,67691,92706,78236,,,,,,,,,,
WFC PRD,WFC,,11,11/27/2024,,,0.27,4.25%,19.89,15.56,c425,17.14,1.58,-2.75,17.35,18.51,-1.19,-7.41,16.38,20.26,15.47,20.8,57.0,17.04,0.66,-3.22,52.598664,60.267717,70.296736,43.986928,-2.85,1.48,45.913043,59.217002,-3.76,1.57,49.344262,73.681592,90959,92495,111511,98322,,,,,,,,,,
WFC PRY,WFC,,11,11/27/2024,,,0.35,5.63%,25.36,21.19,c550,23.23,2.04,-2.13,23.11,23.96,0.53,-3.04,21.92,25.36,21.08,25.36,57.0,23.1,1.18,-2.26,44.24408,41.91601,57.952522,31.437908,-2.26,1.91,40.782609,55.369128,-2.26,2.02,29.672131,69.20398,44136,44057,66811,51668,,,,,,,,,,
WFC PRZ,WFC,,11,11/27/2024,,,0.3,4.75%,21.8,17.49,c475,19.08,1.59,-2.72,19.28,20.28,-1.04,-5.93,18.22,22.01,17.33,22.29,57.0,18.97,0.75,-3.04,51.870067,54.052493,68.160237,41.633987,-2.83,1.48,45.73913,59.217002,-3.32,1.64,43.57377,72.985075,168452,162979,254999,195477,,,,,,,,,,
WRB PRE,WRB,BB,11.5,12/13/2024,,,0.36,5.70%,25.59,21.77,c550,22.52,0.75,-3.07,22.04,23.62,2.18,-4.68,20.43,25.32,20.43,25.68,73.0,22.45,2.02,-2.87,36.229508,48.80315,38.011869,39.411765,-3.14,0.68,48.434783,66.375839,-3.23,2.02,42.393443,69.20398,10043,12756,12539,11779,,,,,,,,,,
WRB PRF,WRB,BB,11.5,12/13/2024,,,0.32,5.10%,24.51,18.93,c500,20.18,1.25,-4.33,19.77,21.3,2.09,-5.28,19.0,24.24,18.79,24.54,73.0,20.12,1.12,-4.12,36.666667,51.322835,59.376855,55.751634,-4.39,1.19,59.304348,61.812081,-4.42,1.33,58.0,76.069652,19949,21920,16023,19297,,,,,,,,,,
WRB PRG,WRB,BB,11.5,12/13/2024,,,0.27,4.25%,21.25,17.35,c425,16.49,-0.86,-4.76,16.74,18.4,-1.49,-10.39,15.82,20.65,15.82,22.29,73.0,16.44,0.62,-4.21,54.055859,72.782152,71.246291,56.928105,-4.81,-0.91,62.956522,80.604027,-5.85,0.62,76.754098,83.134328,7596,8350,9102,8350,,,,,,,,,,
WRB PRH,WRB,BB,11.5,12/13/2024,,,0.26,4.13%,20.85,15.6,c400,16.1,0.5,-4.75,16.44,17.99,-2.06,-10.49,15.44,20.61,15.4,21.15,73.0,16.05,0.61,-4.56,56.824529,73.2021,71.48368,61.503268,-4.8,0.45,62.869565,68.434004,-5.1,0.65,66.918033,82.835821,13145,17440,33636,21407,,,,,,,,,,
ABLLL,ABL,BB,8.0,05/13/2025,2/15/2027,11/15/2028,0.62,9.88%,,,,24.79,,,25.5,26.19,-2.79,-5.35,20.52,38.5,20.52,38.5,44.0,24.47,3.95,-14.03,60.201578,65.562701,39.147287,,,,,,-14.03,3.95,,64.140753,11349,12656,13749,12585,ABLLL,,95.62,Insurance,,,,,,
ABR PRD,ABR,,8.0,06/17/2025,6/2/2026,NONE,0.4,6.38%,21.35,16.6,,17.61,1.01,-3.74,17.53,18.27,0.48,-3.64,16.75,19.98,15.9,19.98,79.0,17.56,0.81,-2.42,48.737949,59.278824,78.093023,34.856397,,,,,-2.42,1.66,34.010088,79.13257,14645,14263,9123,12677,ABR-D,,192.08,Reit,,,,,,
ABR PRE,ABR,,8.0,06/17/2025,8/11/2026,NONE,0.39,6.25%,21.35,16.6,,17.25,0.65,-4.1,17.14,18.08,0.63,-4.57,16.3,20.6,16.0,20.94,79.0,17.2,0.9,-3.4,48.212095,62.696371,76.976744,45.091384,,,,,-3.74,1.2,47.326608,82.144026,7809,9423,4678,7303,ABR-E,,192.08,Reit,,,,,,
ABR PRF,ABR,,8.0,07/11/2025,10/30/2026,NONE,0.39,6.25%,,,,20.4,,,21.12,20.61,-3.41,-1.04,19.19,23.3,17.15,23.3,13.0,20.07,0.88,-3.23,62.37511,49.724391,77.224806,43.315927,,,,,-3.23,2.92,42.181589,70.883797,19810,15554,11504,15623,ABR-F,NFF,192.08,Reit,,,,,,
ACR PRC,ACR,,8.0,07/01/2025,7/30/2024,NONE,0.64,8.63%,,,,25.32,,,24.85,24.89,1.87,1.74,22.61,25.53,20.85,25.53,3.0,24.7,2.09,-0.83,43.865031,39.508498,62.217054,18.250653,,,,,-0.83,3.85,17.969735,64.795417,7698,6054,4256,6003,ACR-C,FF,7.39,Reit,,,,,,
ACR PRD,ACR,,8.0,07/01/2025,5/21/2026,NONE,0.49,7.88%,20.5,18.57,,22.45,3.88,1.95,21.31,22.18,5.36,1.22,18.12,23.48,17.69,24.49,3.0,21.98,3.86,-1.5,31.630149,41.419384,40.263566,25.248042,,,,,-2.51,4.29,34.918033,61.914894,6399,8442,6008,6950,ACR-D,,7.39,Reit,,,,,,
AGNCL,AGNC,,8.0,07/01/2025,10/15/2027,NONE,0.48,7.75%,,,,25.16,,,24.97,24.71,0.74,1.8,22.84,26.59,19.78,26.59,3.0,24.7,1.86,-1.89,47.826468,39.288011,65.069767,29.321149,,,,,-1.89,4.92,28.663304,57.790507,14240,12842,12191,13091,AGNCL,FF,1020.48,Reit,,,,,,
AGNCM,AGNC,,8.0,07/01/2025,4/15/2024,NONE,0.56,6.88%,,,,25.34,,,24.81,25.07,2.15,1.09,23.01,25.6,20.47,25.85,3.0,24.8,1.79,-0.8,42.883436,41.897106,65.937984,17.937337,,,,,-1.05,4.33,20.189155,61.653028,14303,15915,12162,14127,AGNCM,FF,1020.48,Reit,,,,,,
AGNCN,AGNC,,8.0,07/01/2025,10/15/2022,NONE,0.61,7.00%,,,,25.83,,,25.64,25.7,0.73,0.5,23.63,26.59,23.63,26.59,3.0,25.24,1.61,-1.35,47.861525,44.065227,68.170543,23.681462,,,,,-1.35,1.61,23.215637,79.459902,22150,22761,14768,19893,AGNCN,FF,1020.48,Reit,,,,,,
AGNCO,AGNC,,8.0,07/01/2025,10/15/2024,NONE,0.6,6.50%,,,,25.71,,,25.35,25.22,1.42,1.92,23.68,25.95,20.85,25.95,3.0,25.13,1.45,-0.82,45.442594,38.847037,70.155039,18.146214,,,,,-0.82,4.28,17.868852,61.98036,32088,29412,19310,26937,AGNCO,FF,1020.48,Reit,,,,,,
AGNCP,AGNC,,8.0,07/01/2025,4/15/2025,NONE,0.38,6.13%,,,,25.37,,,24.93,24.63,1.76,2.99,23.37,25.48,19.61,25.48,3.0,25.0,1.63,-0.48,44.250657,34.915021,67.922481,14.5953,,,,,-0.48,5.39,14.43884,54.713584,37633,34331,43033,38332,AGNCP,FF,1020.48,Reit,,,,,,
AHL PRF,-,,10.0,06/12/2025,11/30/2029,NONE,0.61,7.00%,,,,24.2,,,,,,,21.28,26.21,21.28,26.21,74.0,24.09,2.81,-2.12,,,53.286822,31.723238,,,,,-2.12,2.81,30.983607,71.603928,28868,14851,11593,18438,AHL-F,,-,-,,,,,,
ALL PRB,ALL,,12.5,06/27/2025,1/15/2023,1/15/2053,0.48,5.10%,,,,26.23,,,25.94,26.0,1.1,0.9,25.01,27.0,25.01,27.0,89.0,26.22,1.21,-0.78,46.564417,42.595315,73.131783,17.72846,,,,,-0.78,1.21,17.465322,82.07856,26238,27897,19148,24428,ALL-B,FF,264.67,Insurance,,,,,,
ALL PRJ,ALL,,12.0,06/27/2025,7/15/2028,NONE,0.46,7.38%,,25.29,,26.78,1.48,,26.64,26.98,0.49,-0.78,25.56,27.99,25.15,28.22,89.0,26.76,1.2,-1.23,48.702892,48.768948,73.255814,22.428198,,,,,-1.46,1.61,24.325347,79.459902,35944,33704,24020,31223,ALL-J,,264.67,Insurance,,,,,,
